start,end,throughput_mbps,retransmissions
0.0,1.000742,19.9081729595008,2
1.000742,2.001002,9.434731012765546,7
2.001002,3.001012,9.437089500946273,1
3.001012,4.000726,9.439883647053394,2
4.000726,5.000737,5.242822500630609,8
5.000737,6.000811,4.193993522984293,5
6.000811,7.000977,5.242009519550713,2
7.000977,8.000725,4.195361266440065,0
8.000725,9.000736,5.242822500630609,6
9.000736,10.001038,4.193037882313264,6
10.001038,11.000769,0.0,4
11.000769,12.00074,5.243032191917745,4
12.00074,13.000744,4.194287000068902,4
13.000744,14.000768,0.0,2
14.000768,15.000728,5.243089695886727,4
15.000728,16.000857,4.193763069771589,6
16.000857,17.000972,0.0,0
17.000972,18.000867,4.1947445462676605,6
18.000867,19.000883,5.242796251337805,2
19.000883,20.001065,0.0,2
