start,end,throughput_mbps,retransmissions
0.0,1.000999,62.85177272284777,0
1.000999,2.001722,60.77346851843592,0
2.001722,3.001133,45.1153415271556,5
3.001133,4.000792,44.05521474772952,0
4.000792,5.000588,43.00038922747264,0
5.000588,6.000949,60.79546292142128,4
6.000949,7.000584,43.00731448024112,4
7.000584,8.000486,44.04450792291744,0
8.000486,9.001008,44.01721424478985,6
9.001008,10.000883,29.363798208742843,11
10.000883,11.000464,14.68621782858127,2
11.000464,12.00067,14.677040622796513,0
12.00067,13.001125,14.673387288049879,2
13.001125,14.00044,13.640831650181525,2
14.00044,15.000508,14.679066567774818,0
15.000508,16.001023,14.672507891276084,2
16.001023,17.000479,14.688054471909352,0
17.000479,18.000744,14.67617478065188,0
18.000744,19.000897,14.677819093348411,4
19.000897,20.000835,14.680974056413332,0
