start,end,throughput_mbps,retransmissions
0.0,1.049875,3.995050759548041,0
1.049875,2.016428,1.0848613883720764,0
2.016428,3.00443,3.1839287702559913,0
3.00443,4.006346,4.18628286889556,0
4.006346,5.060258,1.989873835100338,0
5.060258,6.054106,2.110133486771713,0
6.054106,7.014295,2.184103372402199,0
7.014295,8.002687,3.1826724766538343,0
8.002687,9.012321,4.154281576743826,0
9.012321,10.010702,5.251381889400475,0
10.010702,11.001594,0.0,6
11.001594,12.002267,0.0,62
12.002267,13.0029,0.0,32
13.0029,14.03706,7.0975785879131035,46
14.03706,15.095722,0.0,2
15.095722,16.000781,0.0,0
16.000781,17.023432,7.177455757495672,0
17.023432,18.049545,0.0,0
18.049545,19.043737,0.0,0
19.043737,20.014946,0.0,0
