start,end,throughput_mbps,retransmissions
0.0,1.000546,94.32034311619375,26
1.000546,2.000714,47.17799570601109,166
2.000714,3.000612,36.703903194244226,7
3.000612,4.000785,0.0,0
4.000785,5.000258,0.0,0
5.000258,6.00093,0.0,5
6.00093,7.000935,0.0,0
7.000935,8.001005,0.0,0
8.001005,9.000265,0.0,4
9.000265,10.000239,0.0,2
10.000239,11.001092,0.0,0
11.001092,12.000276,0.0,0
12.000276,13.000398,0.0,2
13.000398,14.000274,0.0,2
14.000274,15.000212,0.0,2
15.000212,16.000402,0.0,2
16.000402,17.000201,0.0,0
17.000201,18.000358,0.0,2
18.000358,19.00023,0.0,0
19.00023,20.000547,0.0,2
