start,end,throughput_mbps,retransmissions
0.0,1.001011,33.52054226299804,14
1.001011,2.000803,10.487941703838493,6
2.000803,3.000807,9.43714575015503,10
3.000807,4.000806,0.0,4
4.000806,5.000832,0.0,2
5.000832,6.000785,0.0,2
6.000785,7.000915,8.3875171418741,2
7.000915,8.000797,0.0,0
8.000797,9.000853,0.0,2
9.000853,10.000912,0.0,0
10.000912,11.000844,0.0,0
11.000844,12.000818,9.437429256373632,8
12.000818,13.000854,0.0,2
13.000854,14.000805,0.0,0
14.000805,15.00084,0.0,2
15.00084,16.000863,8.388415004440324,2
16.000863,17.001097,0.0,2
17.001097,18.000785,0.0,3
18.000785,19.000859,0.0,0
19.000859,20.001408,0.0,3
