start,end,throughput_mbps,retransmissions
0.0,1.000365,6.289160337959905,9
1.000365,2.000927,2.095974161889178,2
2.000927,3.000384,3.1474370530129043,6
3.000384,4.00073,3.1446401263448416,2
4.00073,5.000449,2.0977414156118153,6
5.000449,6.000331,5.24349882303176,4
6.000331,7.000395,3.1455266378902738,1
7.000395,8.000855,6.288563080825698,4
8.000855,9.000662,1.0487784140658822,4
9.000662,10.000775,6.29074508034132,5
10.000775,11.000909,5.242177594116236,2
11.000909,12.000384,7.3438875241413495,6
12.000384,13.000364,3.145791001261736,5
13.000364,14.000346,4.1943795013590695,2
14.000346,15.000943,3.1438511204972923,6
15.000943,16.000983,4.194136006728856,0
16.000983,17.000842,5.243619479284763,7
17.000842,18.000654,5.243865810325491,4
18.000654,19.000909,3.1449260794806473,4
19.000909,20.001734,4.190846352723217,7
