start,end,throughput_mbps,retransmissions
0.0,1.002069,72.20235757996964,0
1.002069,2.001038,72.426414296197,0
2.001038,3.00071,44.05464211470063,604
3.00071,4.009425,0.0,1724
4.009425,5.001889,0.0,1600
5.001889,6.001399,68.19085418577798,2172
6.001399,7.000896,44.06235552333196,145
7.000896,8.001479,0.0,100
8.001479,9.002309,0.0,435
9.002309,10.019077,0.0,775
10.019077,11.030653,0.0,235
11.030653,12.001923,0.0,110
12.001923,13.000708,0.0,202
13.000708,14.001927,0.0,230
14.001927,15.001508,48.2547157224813,340
15.001508,16.022449,0.0,392
16.022449,17.002697,0.0,298
17.002697,18.018052,0.0,196
18.018052,19.00319,0.0,35
19.00319,20.001395,0.0,9
