start,end,throughput_mbps,retransmissions
0.0,1.000748,135.1651952582105,0
1.000748,2.000862,0.0,1068
2.000862,3.000866,93.32288575153311,4
3.000866,4.000858,44.040543752809455,0
4.000858,5.000941,44.036538303145996,0
5.000941,6.00102,44.03671152508198,4
6.00102,7.001076,45.08624189153373,16
7.001076,8.001081,44.039971501104,0
8.001081,9.000966,44.04525620726918,46
9.000966,10.000982,49.282284762575365,11
10.000982,11.001123,44.03398212574497,0
11.001123,12.000633,44.061782704656544,0
12.000633,13.000942,45.0748403035256,5
13.000942,14.001004,44.03746216921902,0
14.001004,15.001,45.088948063219085,10
15.001,16.001018,46.13651351494923,8
16.001018,17.000894,45.09435869312106,0
17.000894,18.001037,44.033892901093324,4
18.001037,19.000788,45.099999171878586,8
19.000788,20.001709,49.23772351645087,10
