start,end,throughput_mbps,retransmissions
0.0,1.000852,33.525868335921665,0
1.000852,2.000925,15.727492583711,508
2.000925,3.000683,15.732447171315881,29
3.000683,4.001097,0.0,0
4.001097,5.000619,15.736162345901377,0
5.000619,6.001014,15.72242870383209,0
6.001014,7.001171,0.0,0
7.001171,8.000617,15.737358892986197,0
8.000617,9.001002,0.0,0
9.001002,10.001023,15.72831000692353,0
10.001023,11.00093,15.730102636000643,0
11.00093,12.001116,0.0,0
12.001116,13.00062,15.736444808452793,0
13.00062,14.000707,15.727271369102068,0
14.000707,15.000823,0.0,0
15.000823,16.000795,14.680475261521154,0
16.000795,17.001053,0.0,0
17.001053,18.000666,15.734729544232529,0
18.000666,19.000805,15.726454053842213,0
19.000805,20.001451,0.0,0
