start,end,throughput_mbps,retransmissions
0.0,1.002434,13.598389312710413,0
1.002434,2.001698,7.345438228974544,0
2.001698,3.005891,9.39777959563194,82
3.005891,4.007305,0.0,116
4.007305,5.001837,0.0,55
5.001837,6.003877,0.0,0
6.003877,7.008988,0.0,9
7.008988,8.003714,9.487219575011716,0
8.003714,9.001513,0.0,0
9.001513,10.008048,0.0,0
10.008048,11.042791,0.0,0
11.042791,12.001617,0.0,0
12.001617,13.00263,0.0,0
13.00263,14.003275,9.4311005490781,0
14.003275,15.002706,0.0,0
15.002706,16.015616,0.0,0
16.015616,17.001811,0.0,0
17.001811,18.0053,0.0,0
18.0053,19.005652,0.0,0
19.005652,20.011333,0.0,0
