start,end,throughput_mbps,retransmissions
0.0,1.000808,33.52734188882512,68
1.000808,2.000484,14.684822041657116,427
2.000484,3.000805,14.675352762451496,0
3.000805,4.000802,14.680107750130386,0
4.000802,5.000986,0.0,0
5.000986,6.000687,14.684454312602043,0
6.000687,7.001024,14.675118416684631,0
7.001024,8.000506,0.0,0
8.000506,9.000815,14.675529401147868,0
9.000815,10.000889,14.678977330445028,0
10.000889,11.00062,0.0,0
11.00062,12.001051,14.673740475069836,0
12.001051,13.0005,0.0,0
13.0005,14.000949,14.673476457425753,0
14.000949,15.000825,14.68188422566732,0
15.000825,16.000635,0.0,0
16.000635,17.000808,14.677525189144914,1
17.000808,18.000966,13.629335215037354,0
18.000966,19.000933,0.0,0
19.000933,20.001011,14.678919589221556,0
