start,end,throughput_mbps,retransmissions
0.0,1.000878,4.19062473031202,4
1.000878,2.000409,2.098136086565088,3
2.000409,3.000478,2.0970072599902707,2
3.000478,4.000673,1.0483715398751217,0
4.000673,5.000358,2.0978128331694186,0
5.000358,6.000351,2.097166625101992,2
6.000351,7.000421,1.048502630134119,2
7.000421,8.000783,2.0963930247783362,2
8.000783,9.000384,1.0489945419955324,2
9.000384,10.000388,2.097143500034451,0
10.000388,11.000496,2.096925524460177,2
11.000496,12.000774,1.048284581013331,2
12.000774,13.000865,2.09696126734841,2
13.000865,14.000417,1.0490459605369207,0
14.000417,15.000397,2.0971940008411574,0
15.000397,16.000873,2.0961542249436143,2
16.000873,17.000367,2.0982136621838974,2
17.000367,18.000458,2.09696126734841,2
18.000458,19.000901,2.096223411347798,0
19.000901,20.001622,2.0956410893330233,0
