start,end,throughput_mbps,retransmissions
0.0,1.000509,3.1441275646594646,6
1.000509,2.000156,4.195785022769502,7
2.000156,3.000506,2.096418256808997,4
3.000506,4.000149,4.195801784667514,2
4.000149,5.000139,3.145759500315431,4
5.000139,6.000965,3.143131769489432,4
6.000965,7.000327,3.1477362812997716,3
7.000327,8.000109,3.14641383699476,4
8.000109,9.000888,3.1432792826309215,2
9.000888,10.000094,3.14822767222343,6
10.000094,11.000112,4.194228501359021,4
11.000112,12.000145,2.097082752286627,4
12.000145,13.001144,3.142588636142388,4
13.001144,14.000087,3.149056643471916,2
14.000087,15.000767,4.191453937956083,6
15.000767,16.000312,3.147160026603406,6
16.000312,17.000246,4.194580768261818,0
17.000246,18.000171,2.097309261791905,10
18.000171,19.000185,2.0971227504079586,6
19.000185,20.001599,4.18838187353968,0
