start,end,throughput_mbps,retransmissions
0.0,1.001009,19.90286226222093,0
1.001009,2.00069,11.538016674149993,0
2.00069,3.000815,12.58133869674243,0
3.000815,4.00074,7.340582416271667,0
4.00074,5.001066,16.77174778284334,0
5.001066,6.001074,9.437108625602017,0
6.001074,7.000973,9.438136971221759,16
7.000973,8.001068,12.58171661357343,5
8.001068,9.000624,10.490417692992395,0
9.000624,10.00095,9.43410812784938,0
10.00095,11.000981,9.436891509065585,0
11.000981,12.000764,10.488036118964501,0
12.000764,13.000766,9.43716487503876,0
13.000766,14.001072,10.482552231609995,0
14.001072,15.000946,9.438373274853651,0
15.000946,16.001052,10.484648867754526,0
16.001052,17.000751,10.48891720032821,0
17.000751,18.001079,0.0,0
18.001079,19.000995,9.43797662906732,0
19.000995,20.001012,9.43702312774238,0
