start,end,throughput_mbps,retransmissions
0.0,1.000846,83.8151699918756,64
1.000846,2.001027,44.03222394189741,40
2.001027,3.001027,62.91456,31
3.001027,4.001066,40.89286993713886,43
4.001066,5.000888,44.0480316452959,26
5.000888,6.001046,41.93641604626878,32
6.001046,7.001011,65.0139867045872,26
7.001011,8.001038,40.89336227968178,36
8.001038,9.000824,43.00081734390978,38
9.000824,10.000925,40.89033529187677,38
10.000925,11.000978,41.94081511802584,34
11.000978,12.001076,44.03587692283457,53
12.001076,13.000849,41.95256216128767,40
13.000849,14.000924,65.00683761549423,46
14.000924,15.001002,44.036758767664665,47
15.001002,16.000923,41.94635276162917,42
16.000923,17.000937,42.991016383363146,32
17.000937,18.001413,42.97116161134409,50
18.001413,19.001204,63.9765054188594,19
19.001204,20.001582,41.927190991125954,35
