start,end,throughput_mbps,retransmissions
0.0,1.001217,15.709521392491348,8
1.001217,2.001678,6.28855708634795,2
2.001678,3.011212,5.19336643737295,0
3.011212,4.002781,6.344950387108452,7
4.002781,5.009077,0.0,1
5.009077,6.022958,0.0,2
6.022958,7.007747,0.0,0
7.007747,8.026905,0.0,1
8.026905,9.002921,5.371715300272717,2
9.002921,10.044531,0.0,2
10.044531,11.000883,0.0,2
11.000883,12.006697,0.0,0
12.006697,13.017331,5.187714130844138,0
13.017331,14.027194,0.0,2
14.027194,15.040527,0.0,2
15.040527,16.024922,0.0,0
16.024922,17.019125,6.328140410575135,0
17.019125,18.000777,0.0,2
18.000777,19.016772,5.16034022580415,2
19.016772,20.003343,0.0,4
