start,end,throughput_mbps,retransmissions
0.0,1.001004,62.8514583528319,0
1.001004,2.000974,59.77062399122593,0
2.000974,3.001072,50.3267164832395,0
3.001072,4.001091,62.91336752260254,0
4.001091,5.000983,50.33708458717108,86
5.000983,6.001028,58.71761711859635,14
6.001028,7.001055,53.47593528881463,0
7.001055,8.001006,26.21568443793106,0
8.001006,9.001082,53.47330905931332,4
9.001082,10.001012,53.481118386876716,4
10.001012,11.000986,55.5759722875336,4
11.000986,12.000987,26.214375000023843,5
12.000987,13.001003,27.262540506956586,2
13.001003,14.001006,26.21432187523283,2
14.001006,15.001014,0.0,2
15.001014,16.001433,26.203420225752172,2
16.001433,17.001002,27.27473144160928,0
17.001002,18.000987,0.0,2
18.000987,19.000997,26.21413750262854,4
19.000997,20.001694,0.0,0
