start,end,throughput_mbps,retransmissions
0.0,1.000858,30.382637238958267,0
1.000858,2.000537,58.73910955144349,45
2.000537,3.000677,0.0,659
3.000677,4.000627,0.0,307
4.000627,5.000468,32.511026072171724,312
5.000468,6.000588,0.0,49
6.000588,7.000936,0.0,0
7.000936,8.000472,29.373758074656678,0
8.000472,9.000651,0.0,0
9.000651,10.000993,0.0,4
10.000993,11.000484,30.424190633062743,0
11.000484,12.000688,0.0,0
12.000688,13.0005,0.0,3
13.0005,14.001077,29.34319776828593,2
14.001077,15.0005,0.0,0
15.0005,16.000954,0.0,0
16.000954,17.00049,0.0,0
17.00049,18.000867,0.0,0
18.000867,19.000538,0.0,2
19.000538,20.000902,29.349446387529717,0
