start,end,throughput_mbps,retransmissions
0.0,1.001047,80.65590404329345,46
1.001047,2.001164,58.713389802962695,29
2.001164,3.001043,39.85070983342945,48
3.001043,4.001095,40.89233861046765,52
4.001095,5.001059,61.86821133018657,34
5.001059,6.001136,40.89131499250255,42
6.001136,7.001079,40.89679438278997,32
7.001079,8.001039,60.81984047228604,55
8.001039,9.001077,41.94144506065197,57
9.001077,10.001083,44.039929501564615,36
10.001083,11.001082,39.845928375040906,22
11.001082,12.001074,38.797621877475,27
12.001074,13.001061,60.8181982602685,55
13.001061,14.001076,40.89384975922612,55
14.001076,15.001108,42.9902425438793,65
15.001108,16.001145,39.84441555441405,38
16.001145,17.00108,60.82136313219698,44
17.00108,18.001085,40.89425925102513,42
18.001085,19.001059,41.94413002832725,29
19.001059,20.00157,61.83438352443012,38
