start,end,throughput_mbps,retransmissions
0.0,1.000584,23.055207613286793,0
1.000584,2.000755,9.435571025731694,169
2.000755,3.000497,9.43961969097771,4
3.000497,4.000683,8.387048290053787,0
4.000683,5.001055,16.770976321486074,0
5.001055,6.000503,8.39324105744129,0
6.000503,7.000907,8.38522036860404,0
7.000907,8.001088,8.387090274647127,0
8.001088,9.000495,8.393585451661739,0
9.000495,10.001037,8.384063463341736,0
10.001037,11.001089,7.339650519827527,0
11.001089,12.000604,8.39267847419217,7
12.000604,13.001116,18.86470919534564,0
13.001116,14.000639,8.392611409690366,0
14.000639,15.000867,8.386695436155156,0
15.000867,16.001043,8.38713225966081,0
16.001043,17.000484,8.39329962248729,0
17.000484,18.001085,8.38356902869002,0
18.001085,19.000496,8.39355191202895,0
19.000496,20.000905,15.722209505117887,0
