start,end,throughput_mbps,retransmissions
0.0,1.01223,1.0359068195662782,0
1.01223,2.003043,1.0582985710964343,0
2.003043,3.001075,1.0506436942764295,0
3.001075,4.004161,1.0453500800948838,4
4.004161,5.02339,2.0575865560756,0
5.02339,6.023022,0.0,2
6.023022,7.023894,2.0953248433097826,2
7.023894,8.016776,0.0,0
8.016776,9.006409,2.119120875814048,0
9.006409,10.006772,0.0,0
10.006772,11.008528,0.0,0
11.008528,12.023482,2.066253308139216,0
12.023482,13.00574,0.0,0
13.00574,14.023316,0.0,0
14.023316,15.009813,0.0,0
15.009813,16.001245,0.0,1
16.001245,17.006905,0.0,0
17.006905,18.01538,2.0795281115037043,0
18.01538,19.013549,0.0,0
19.013549,20.007275,0.0,0
