start,end,throughput_mbps,retransmissions
0.0,1.000704,2.0956765387985534,0
1.000704,2.000361,1.0489358109240452,1
2.000361,3.026627,1.021739024431687,0
3.026627,4.000251,3.2309475003059744,0
4.000251,5.00103,5.238798804384869,0
5.00103,6.00069,0.0,2
6.00069,7.042774,0.0,2
7.042774,8.000595,2.1895030227213303,2
8.000595,9.005374,0.0,0
9.005374,10.000239,0.0,2
10.000239,11.004575,3.1321470121563477,0
11.004575,12.001089,0.0,0
12.001089,13.000189,0.0,0
13.000189,14.004059,0.0,0
14.004059,15.056557,0.0,1
15.056557,16.006208,0.0,1
16.006208,17.000318,2.1095774359642934,0
17.000318,18.006647,0.0,1
18.006647,19.000918,0.0,0
19.000918,20.003514,0.0,0
