start,end,throughput_mbps,retransmissions
0.0,1.000975,6.285327725146297,2
1.000975,2.000943,3.1458286907228783,10
2.000943,3.000775,3.1462566513268997,2
3.000775,4.000681,2.097349143530807,3
4.000681,5.000634,1.0486253148191804,2
5.000634,6.000621,2.097179250354086,0
6.000621,7.000646,1.0485497506571249,4
7.000646,8.000948,2.096518941156632,2
8.000948,9.001065,1.0484533893386196,0
9.001065,10.001156,2.09696126734841,0
10.001156,11.000609,1.0491498764057023,0
11.000609,12.000603,2.0971646250760037,7
12.000603,13.000624,3.1456620013847063,0
13.000624,14.000656,1.0485425010702267,2
14.000656,15.000625,2.0972170020147,4
15.000625,16.000609,1.0485927502675694,0
16.000609,17.00064,1.0485435010072872,2
17.00064,18.000587,2.0972631308886625,2
18.000587,19.000623,1.0485382513589967,2
19.000623,20.000968,2.0964287495154026,2
