start,end,throughput_mbps,retransmissions
0.0,1.000962,136.1838685355137,0
1.000962,2.001003,45.086919075820674,0
2.001003,3.000986,44.04094013770886,4
3.000986,4.001106,44.03490588456514,8
4.001106,5.001087,44.041029390922056,0
5.001087,6.000995,45.09291788191185,4
6.000995,7.000978,44.04094013770886,3
7.000978,8.001035,45.086198896392766,7
8.001035,9.001087,44.03790311896516,20
9.001087,10.000969,44.04539011346678,4
10.000969,11.000996,89.12655881469105,7
11.000996,12.000965,44.04155704230869,8
12.000965,13.001005,47.18403007569963,3
13.001005,14.000979,44.04133652974361,9
14.000979,15.001078,48.22972397216214,17
15.001078,16.001007,44.0433185969544,1
16.001007,17.001009,44.04010275018087,0
17.001009,18.001077,44.037199703324454,5
18.001077,19.000988,45.09278079459753,0
19.000988,20.001722,44.0078914576806,8
