start,end,throughput_mbps,retransmissions
0.0,1.000756,135.16411650633202,0
1.000756,2.000975,0.0,923
2.000975,3.000991,99.6131287754183,210
3.000991,4.001046,44.0377718829987,37
4.001046,5.001034,44.0407196313213,0
5.001034,6.000707,45.10351644761083,0
6.000707,7.000733,44.039047529742064,0
7.000733,8.000907,44.0325283338271,0
8.000907,9.001034,44.034601459763216,0
9.001034,10.000897,45.09494472103458,0
10.000897,11.000962,44.037330935880654,0
11.000962,12.001009,44.0381235971497,44
12.001009,13.001075,44.03728369207031,47
13.001075,14.001056,45.08962532880115,0
14.001056,15.000988,44.043187328708996,0
15.000988,16.001017,44.038916286954674,0
16.001017,17.001035,44.039399264269726,45
17.001035,18.001062,45.08755328272606,43
18.001062,19.000741,44.054332163582615,0
19.000741,20.001516,88.01217635952935,0
