start,end,throughput_mbps,retransmissions
0.0,1.000963,18.856209985671015,2
1.000963,2.000813,9.438600024938989,0
2.000813,3.000976,9.43564637556989,0
3.000976,4.001044,9.436542793569526,0
4.001044,5.000948,9.438090274523272,0
5.000948,6.000838,10.486913251823761,2
6.000838,7.00079,9.437636834227774,0
7.00079,8.001013,9.435079594367854,0
8.001013,9.00098,8.38888500914711,0
9.00098,10.000971,9.43726893826447,0
10.000971,11.000843,11.535812251417624,2
11.000843,12.001031,9.43541020846048,2
12.001031,13.001002,9.43745794545194,0
13.001002,14.00094,9.437769036265713,0
14.00094,15.000802,9.438486367206819,2
15.000802,16.000935,9.43592866700645,0
16.000935,17.000572,9.440610868926987,2
17.000572,18.000894,9.43414635307459,3
18.000894,19.000828,9.43780672858909,2
19.000828,20.00093,9.43622109825753,0
