start,end,throughput_mbps,retransmissions
0.0,1.005544,5.21397400331993,0
1.005544,2.008441,2.0910940500273982,9
2.008441,3.000354,1.0571249476635545,2
3.000354,4.005893,2.085599985917844,4
4.005893,5.00586,1.048610626143389,0
5.00586,6.004375,2.100270881508225,0
6.004375,7.006666,0.0,0
7.006666,8.002681,1.052771280641906,0
8.002681,9.005836,2.0905563093581825,0
9.005836,10.001854,1.0527681305954868,0
10.001854,11.001707,2.0974602953148036,0
11.001707,12.000869,7.346187971091125,8
12.000869,13.003514,6.27485889959143,7
13.003514,14.001729,0.0,2
14.001729,15.001393,2.0978568618275,2
15.001393,16.006171,0.0,2
16.006171,17.001669,0.0,2
17.001669,18.005754,2.08862010233038,2
18.005754,19.000385,2.108472404336777,0
19.000385,20.005482,2.0865169571494055,4
