start,end,throughput_mbps,retransmissions
0.0,1.001013,135.12941242671369,1
1.001013,2.000975,48.236330319755076,11
2.000975,3.000914,45.09151748015107,2
3.000914,4.00097,44.037724638242246,0
4.00097,5.001087,44.03504235222203,4
5.001087,6.000937,44.04680011638194,0
6.000937,7.001023,45.08489295805946,5
7.001023,8.000911,47.19120527943611,15
8.000911,9.000966,46.134808639331965,4
9.000966,10.001076,44.03534678312006,9
10.001076,11.00074,44.054994098377506,4
11.00074,12.001104,44.02416958129457,3
12.001104,13.001289,89.11247305029701,5
13.001289,14.001063,44.0501482503198,4
14.001063,15.001026,44.04182218534047,4
15.001026,16.000805,45.09873545294687,5
16.000805,17.001072,44.02843513942047,3
17.001072,18.000958,44.045214197649486,5
18.000958,19.001038,44.03666953176024,8
19.001038,20.001729,45.05763064266544,4
