start,end,throughput_mbps,retransmissions
0.0,1.001104,30.375169896557328,4
1.001104,2.001205,0.0,3
2.001205,3.000674,20.98266216668862,10
3.000674,4.001003,10.482311134737506,5
4.001003,5.000852,9.43860902764863,10
5.000852,6.000847,10.485812500262858,7
6.000847,7.000625,0.0,4
7.000625,8.000709,9.436390941650647,10
8.000709,9.000644,10.486441919344307,8
9.000644,10.000893,9.434834460101705,12
10.000893,11.00063,9.4396664028116,14
11.00063,12.000966,10.482237433761862,4
12.000966,13.00105,9.436390941650647,1
13.00105,14.000705,10.489378748438119,19
14.000705,15.001035,10.48230114132414,8
15.001035,16.000629,9.441017306425296,4
16.000629,17.000628,10.485770625010765,2
17.000628,18.000861,9.434985137454067,2
18.000861,19.001082,9.435098710878139,4
19.001082,20.001434,11.530277053850648,8
