start,end,throughput_mbps,retransmissions
0.0,1.000837,33.526371485764315,66
1.000837,2.000927,13.63026123541251,350
2.000927,3.000803,12.584472193429132,8
3.000803,4.000911,0.0,2
4.000911,5.000792,0.0,5
5.000792,6.000922,13.629715355545413,2
6.000922,7.000818,0.0,5
7.000818,8.000823,0.0,2
8.000823,9.000823,0.0,4
9.000823,10.000807,12.583113003210835,2
10.000807,11.00119,0.0,6
11.00119,12.000945,0.0,4
12.000945,13.000806,0.0,2
13.000806,14.000781,13.631828446002416,6
14.000781,15.00103,0.0,7
15.00103,16.000813,0.0,2
16.000813,17.000807,0.0,4
17.000807,18.00081,0.0,4
18.00081,19.000819,12.58279950100582,4
19.000819,20.001167,0.0,4
