start,end,throughput_mbps,retransmissions
0.0,1.0011,18.853630060574424,2
1.0011,2.00102,9.437938935386853,0
2.00102,3.00102,9.437184,2
3.00102,4.001029,9.437099625754364,0
4.001029,5.001025,9.437221687650505,0
5.001025,6.001022,9.437212125083821,0
6.001022,7.001163,9.435853312659637,2
7.001163,8.001024,9.438495932356014,2
8.001024,9.001026,9.43716487503876,4
9.001026,10.001105,8.387945052396567,4
10.001105,11.00103,9.43789167806357,0
11.00103,12.001131,9.43623122120233,2
12.001131,13.001019,9.43824105588722,0
13.001019,14.001014,9.437231250236572,0
14.001014,15.001021,9.437117625466835,0
15.001021,16.001026,9.43713675023657,0
16.001026,17.001154,9.43597590467338,0
17.001154,18.001021,9.438439104401224,2
18.001021,19.001019,9.43720312503876,0
19.001019,20.001445,9.43316496232708,2
