start,end,throughput_mbps,retransmissions
0.0,1.000256,2.096615387341902,2
1.000256,2.000268,2.09712675030401,2
2.000268,3.000398,1.0484396427342626,2
3.000398,4.000293,1.0486861365669151,4
4.000293,5.000265,1.04860537582294,0
5.000265,6.000269,1.0485717500172256,2
6.000269,7.000218,1.0486295027297936,2
7.000218,8.000264,1.0485277522201113,2
8.000264,9.000242,2.0971981260145007,0
9.000242,10.000455,2.0967053451495428,1
10.000455,11.00026,2.0975610797813564,3
11.00026,12.000288,3.14563987746868,2
12.000288,13.000601,1.0482478527244026,4
13.000601,14.000255,1.0489389380783765,0
14.000255,15.000298,1.0485308769418507,3
15.000298,16.000265,1.048610626143389,1
16.000265,17.00081,2.096009622624083,0
17.00081,18.001126,2.0964894593786223,2
18.001126,19.000259,2.098971827807384,2
19.000259,20.000679,1.0481358098685543,2
