start,end,throughput_mbps,retransmissions
0.0,1.001085,15.711592247543676,6
1.001085,2.002265,4.189360333786945,3
2.002265,3.001094,3.1494159435555398,3
3.001094,4.001414,4.192962429245937,2
4.001414,5.001093,0.0,4
5.001093,6.00109,0.0,2
6.00109,7.00108,4.194346000420575,0
7.00108,8.001196,0.0,0
8.001196,9.001106,4.194681533979196,4
9.001106,10.00111,0.0,0
10.00111,11.001114,0.0,5
11.001114,12.001516,4.19261867745538,0
12.001516,13.001115,0.0,0
13.001115,14.001051,4.194572517189233,0
14.001051,15.001071,0.0,0
15.001071,16.001086,4.194241000946269,8
16.001086,17.00108,0.0,2
17.00108,18.001118,0.0,0
18.001118,19.001087,4.1944340040294,0
19.001087,20.001545,0.0,0
